Comuna,Ingreso,Diferencia
LA PINTANA,489010,0.8032786885245902
ISLA DE MAIPO,508522,0.3469387755102041
LA GRANJA,565953,0.5686274509803921
PADRE HURTADO,580069,0.6000000000000001
CERRO NAVIA,583116,0.6164383561643836
SAN RAMON,621673,0.7407407407407407
RENCA,624836,0.6000000000000001
EL MONTE,633912,0.4666666666666666
PUENTE ALTO,649410,0.6291390728476822
TALAGANTE,654528,0.6981132075471699
MACUL,654797,0.2647058823529411
BUIN,658372,0.6494845360824741
PEDRO AGUIRRE CERDA,658544,0.49090909090909096
SAN BERNARDO,658992,0.5783783783783785
LO ESPEJO,679606,0.5757575757575757
CONCHALI,704005,0.875
EL BOSQUE,706718,0.5909090909090908
SAN JOAQUIN,711546,0.6363636363636365
RECOLETA,723074,0.5925925925925926
QUILICURA,724723,0.4518518518518519
LO PRADO,735338,0.7
MELIPILLA,756606,0.6944444444444444
CALERA DE TANGO,762880,0.7446808510638299
CERRILLOS,768210,0.7692307692307692
PENAFLOR,775164,0.39999999999999997
LAMPA,810526,0.4444444444444444
HUECHURABA,812064,0.8113207547169812
QUINTA NORMAL,849241,0.6603773584905661
PUDAHUEL,851461,0.375
PENALOLEN,855304,0.3015873015873016
LA CISTERNA,856930,0.7826086956521738
ESTACION CENTRAL,857322,0.5185185185185186
PIRQUE,900322,0.9285714285714286
LA FLORIDA,903085,0.5238095238095237
COLINA,936306,0.8
INDEPENDENCIA,943380,0.5294117647058822
MAIPU,1076966,0.4375
SAN MIGUEL,1103563,0.5135135135135136
SANTIAGO,1292370,0.3901345291479821
NUNOA,1402674,0.22162162162162158
PROVIDENCIA,2531234,0.1557377049180328
LA REINA,2566862,0.18644067796610164
VITACURA,3332463,0.2698412698412698
LO BARNECHEA,3341069,0.5151515151515151
LAS CONDES,3733792,0.46078431372549017
