Comuna;Diferencia;Ingreso
LA PINTANA;-0,020365752285951787;489010
ISLA DE MAIPO;-0,0699588477366255;508522
LA GRANJA;-0,01576086956521739;565953
PADRE HURTADO;-0,026431718061674013;580069
CERRO NAVIA;-0,03313696612665685;583116
SAN RAMON;-0,03460207612456747;621673
RENCA;-0,02345159350571257;624836
EL MONTE;-0,054404145077720206;633912
PUENTE ALTO;-0,0122391136305076;649410
TALAGANTE;-0,03722334004024144;654528
MACUL;-0,010152284263959392;654797
BUIN;-0,05298570227081581;658372
PEDRO AGUIRRE CERDA;-0,016483516483516484;658544
SAN BERNARDO;-0,019903273809523808;658992
LO ESPEJO;-0,019648397104446744;679606
CONCHALI;-0,01796023091725465;704005
EL BOSQUE;-0,011545293072824156;706718
SAN JOAQUIN;-0,028206850235057083;711546
RECOLETA;-0,013530655391120507;723074
QUILICURA;-0,018052678307191476;724723
LO PRADO;-0,023509655751469356;735338
MELIPILLA;-0,04382120946538125;756606
CALERA DE TANGO;-0,05359877488514547;762880
CERRILLOS;-0,015527950310559004;768210
PENAFLOR;-0,0314410480349345;775164
LAMPA;-0,0341005967604433;810526
HUECHURABA;-0,03023909985935302;812064
QUINTA NORMAL;-0,02617801047120419;849241
PUDAHUEL;-0,00676246830092984;851461
PENALOLEN;-0,007841518778373916;855304
LA CISTERNA;-0,02440677966101695;856930
ESTACION CENTRAL;-0,013559322033898305;857322
PIRQUE;-0,039634146341463415;900322
LA FLORIDA;-0,009750044318383265;903085
COLINA;-0,02587601078167116;936306
INDEPENDENCIA;-0,024674434544208364;943380
MAIPU;-0,0121377260341838;1076966
SAN MIGUEL;-0,008616780045351474;1103563
SANTIAGO;-0,008460565982689877;1292370
NUNOA;-0,010461852513396274;1402674
PROVIDENCIA;-0,007026627218934912;2531234
LA REINA;-0,005945945945945948;2566862
VITACURA;-0,00927441352973268;3332463
LO BARNECHEA;-0,010911424903722721;3341069
LAS CONDES;-0,014591741695125737;3733792
